file,start,end,out
walk1_subject1.csv,93,3687,walk1_subject1_seg1
walk1_subject2.csv,81,7752,walk1_subject2_seg1
walk1_subject5.csv,83,7796,walk1_subject5_seg1
walk2_subject1.csv,93,1307,run2_subject1_seg1
walk2_subject1.csv,2224,2792,run2_subject1_seg2
walk2_subject3.csv,270,1241,run2_subject3_seg1
walk2_subject3.csv,2200,2872,run2_subject3_seg2
walk2_subject3.csv,6182,6640,run2_subject3_seg3
walk2_subject4.csv,115,732,run2_subject4_seg1
walk2_subject4.csv,2235,2905,run2_subject4_seg2
walk3_subject1.csv,90,1760,run3_subject1_seg1
walk3_subject1.csv,6682,7354,run3_subject1_seg2
