root_x,root_y,root_z,root_qx,root_qy,root_qz,root_qw,left_hip_pitch_joint,left_hip_roll_joint,left_hip_yaw_joint,left_knee_joint,left_ankle_pitch_joint,left_ankle_roll_joint,right_hip_pitch_joint,right_hip_roll_joint,right_hip_yaw_joint,right_knee_joint,right_ankle_pitch_joint,right_ankle_roll_joint,waist_yaw_joint,waist_roll_joint,waist_pitch_joint,left_shoulder_pitch_joint,left_shoulder_roll_joint,left_shoulder_yaw_joint,left_elbow_joint,left_wrist_roll_joint,left_wrist_pitch_joint,left_wrist_yaw_joint,right_shoulder_pitch_joint,right_shoulder_roll_joint,right_shoulder_yaw_joint,right_elbow_joint,right_wrist_roll_joint,right_wrist_pitch_joint,right_wrist_yaw_joint
0.012246,-1.887018,0.75886,0.035059,0.007064,0.975716,0.2161,0.030989,-0.0773,0.346594,0.479898,-0.505925,0.126061,-0.366404,-0.152962,-0.110566,1.022425,-0.324458,-0.083234,0.016893,-0.079824,0.162052,0.125069,0.083643,-0.191882,0.476922,0.716807,0.282229,0.214904,0.19704,-0.223249,0.22656,0.47158,-0.83864,0.402209,-0.059768
0.004334,-1.886436,0.758232,0.034021,0.007608,0.97535,0.217894,0.043939,-0.083228,0.350028,0.471185,-0.511866,0.126359,-0.381892,-0.124387,-0.116963,0.918767,-0.335195,-0.076932,0.007497,-0.070932,0.154368,0.115117,0.09395,-0.219912,0.444314,0.711919,0.264811,0.217249,0.202572,-0.197954,0.207841,0.529574,-0.848555,0.418885,-0.053931
-0.003621,-1.885747,0.757877,0.032248,0.007028,0.975093,0.219328,0.057661,-0.087022,0.352316,0.458462,-0.514889,0.125515,-0.395674,-0.08899,-0.124125,0.804922,-0.328579,-0.072855,-0.004498,-0.059825,0.148154,0.110379,0.109235,-0.247848,0.412695,0.701371,0.251684,0.212344,0.210602,-0.174355,0.188458,0.583957,-0.861494,0.433601,-0.043162
-0.011649,-1.885131,0.757741,0.029515,0.005298,0.975022,0.220077,0.07155,-0.088995,0.352906,0.441955,-0.514313,0.123961,-0.408979,-0.054529,-0.141901,0.689781,-0.292684,-0.063657,-0.017629,-0.047091,0.143529,0.107989,0.127413,-0.272637,0.384845,0.684378,0.24546,0.203366,0.222791,-0.152478,0.169651,0.62881,-0.875682,0.436554,-0.033962
-0.019741,-1.884706,0.757757,0.025802,0.002969,0.97519,0.219839,0.085732,-0.090712,0.351392,0.420335,-0.508967,0.122247,-0.422656,-0.024605,-0.174678,0.577668,-0.232068,-0.056825,-0.030488,-0.033525,0.139815,0.105338,0.149843,-0.300364,0.366544,0.669792,0.245872,0.190517,0.240074,-0.130938,0.149409,0.664209,-0.888485,0.437084,-0.025142
-0.027954,-1.884386,0.757487,0.021156,0.00162,0.975585,0.218595,0.097509,-0.094484,0.34763,0.399083,-0.502516,0.121066,-0.43411,0.001504,-0.215951,0.468262,-0.20248,-0.045847,-0.042698,-0.019985,0.136234,0.100619,0.172936,-0.330333,0.357992,0.658812,0.256203,0.17601,0.26316,-0.112313,0.129705,0.688783,-0.901016,0.433588,-0.018211
-0.036364,-1.884163,0.757268,0.015807,0.000143,0.976419,0.215303,0.108782,-0.09844000000000001,0.340285,0.37631,-0.494448,0.120116,-0.447866,0.033341,-0.232963,0.372408,-0.186331,-0.027557,-0.055331,-0.006829,0.132343,0.095035,0.195262,-0.360242,0.358143,0.647788,0.268178,0.159879,0.288399,-0.095149,0.112976,0.707007,-0.914778,0.427126,-0.013705
-0.045145,-1.883929,0.75693,0.010367,-0.000577,0.977346,0.211393,0.121915,-0.104363,0.332081,0.350468,-0.485738,0.119189,-0.463427,0.064363,-0.230344,0.297037,-0.168175,-0.012626,-0.067623,0.005452,0.127816,0.091281,0.213272,-0.384988,0.372385,0.638144,0.284514,0.142316,0.312872,-0.080601,0.101486,0.721632,-0.929295,0.420762,-0.007177
-0.054328,-1.883638,0.756215,0.004643,-0.000341,0.978198,0.207623,0.13442,-0.111799,0.324343,0.325849,-0.479375,0.117544,-0.48218,0.086375,-0.230897,0.257797,-0.162437,0.002971,-0.078994,0.016181,0.123174,0.09019700000000001,0.223589,-0.399817,0.398705,0.634147,0.308588,0.134307,0.334775,-0.07058,0.09802300000000001,0.732651,-0.94642,0.41131,0.009179
-0.063946,-1.883263,0.755205,-0.001333,0.000455,0.978832,0.20466,0.144153,-0.119925,0.315752,0.306532,-0.474793,0.116295,-0.499457,0.09663,-0.257436,0.258325,-0.16275,0.000765,-0.088523,0.025236,0.118319,0.094615,0.223151,-0.400215,0.433696,0.62738,0.332892,0.136633,0.353985,-0.065191,0.097336,0.737726,-0.965506,0.402294,0.02827
-0.074228,-1.882688,0.754278,-0.007375,0.000716,0.979491,0.20135,0.151788,-0.125446,0.30859,0.294176,-0.47148,0.115694,-0.513146,0.105607,-0.28288,0.284344,-0.160457,-0.012578,-0.09821800000000001,0.034001,0.112798,0.103387,0.215511,-0.389185,0.478915,0.619017,0.359678,0.146547,0.370294,-0.058909,0.088164,0.732961,-0.973145,0.392102,0.050452
